                                                                                                                                                                                                                                                           Definition    control    samples  Diferentes            ID
42  Homo sapiens interferon, alpha 1 (IFNA1), mRNA.                                                                                                                                                                                                                    6.769606   13.431570  True        ILMN_1688663
43  Homo sapiens interferon, alpha 10 (IFNA10), mRNA.                                                                                                                                                                                                                  7.004035   14.363907  True        ILMN_1769988
44  Homo sapiens interferon, alpha 13 (IFNA13), mRNA.                                                                                                                                                                                                                  6.799070   13.072013  True        ILMN_1664595
45  Homo sapiens interferon, alpha 13 (IFNA13), mRNA.                                                                                                                                                                                                                  6.799070   13.072013  True        ILMN_2193942
46  Homo sapiens interferon, alpha 14 (IFNA14), mRNA.                                                                                                                                                                                                                  6.958037   13.747760  True        ILMN_1742328
47  Homo sapiens interferon, alpha 14 (IFNA14), mRNA.                                                                                                                                                                                                                  6.958037   13.747760  True        ILMN_2129202
48  Homo sapiens interferon, alpha 16 (IFNA16), mRNA.                                                                                                                                                                                                                  7.271688   14.331248  True        ILMN_1733136
49  Homo sapiens interferon, alpha 2 (IFNA2), mRNA.                                                                                                                                                                                                                    7.037035   14.369190  True        ILMN_1698186
50  Homo sapiens interferon, alpha 21 (IFNA21), mRNA.                                                                                                                                                                                                                  7.082752   14.118908  True        ILMN_1675192
51  Homo sapiens interferon, alpha 4 (IFNA4), mRNA.                                                                                                                                                                                                                    6.654127   12.435672  True        ILMN_1782448
52  Homo sapiens interferon, alpha 4 (IFNA4), mRNA.                                                                                                                                                                                                                    6.654127   12.435672  True        ILMN_2202096
53  Homo sapiens interferon, alpha 5 (IFNA5), mRNA.                                                                                                                                                                                                                    6.585453   13.280424  True        ILMN_1660195
54  Homo sapiens interferon, alpha 6 (IFNA6), mRNA.                                                                                                                                                                                                                    6.390085   9.985100   True        ILMN_1684538
55  Homo sapiens interferon, alpha 7 (IFNA7), mRNA.                                                                                                                                                                                                                    6.782490   14.004248  True        ILMN_1776023
56  Homo sapiens interferon, alpha 7 (IFNA7), mRNA.                                                                                                                                                                                                                    6.782490   14.004248  True        ILMN_2186745
57  Homo sapiens interferon, alpha 8 (IFNA8), mRNA.                                                                                                                                                                                                                    6.706053   12.632825  True        ILMN_1678574
58  Homo sapiens interferon, alpha 8 (IFNA8), mRNA.                                                                                                                                                                                                                    6.706053   12.632825  True        ILMN_2110561
59  Homo sapiens interferon, beta 1, fibroblast (IFNB1), mRNA.                                                                                                                                                                                                         7.238079   14.334104  True        ILMN_1682245
60  Homo sapiens interferon, epsilon (IFNE), mRNA.                                                                                                                                                                                                                     6.862308   10.740345  True        ILMN_3245702
61  Homo sapiens interferon, omega 1 (IFNW1), mRNA.                                                                                                                                                                                                                    6.750488   13.047783  True        ILMN_1781057
62  Homo sapiens interferon, omega 1 (IFNW1), mRNA.                                                                                                                                                                                                                    6.750488   13.047783  True        ILMN_2176225
63  Homo sapiens interferon-induced protein with tetratricopeptide repeats 2 (IFIT2), mRNA.                                                                                                                                                                            11.224683  14.284917  True        ILMN_1739428
64  Homo sapiens interleukin 1 receptor, type II (IL1R2), transcript variant 2, mRNA.                                                                                                                                                                                  6.622237   9.590528   True        ILMN_1772131
65  Homo sapiens interleukin 1 receptor, type II (IL1R2), transcript variant 2, mRNA.                                                                                                                                                                                  6.622237   9.590528   True        ILMN_2251766
66  Homo sapiens interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) (IL12A), mRNA.                                                                                                                              6.535689   11.648851  True        ILMN_1671353
67  Homo sapiens interleukin 23, alpha subunit p19 (IL23A), mRNA.                                                                                                                                                                                                      8.464439   11.888802  True        ILMN_1715603
68  Homo sapiens interleukin 28A (interferon, lambda 2) (IL28A), mRNA.                                                                                                                                                                                                 6.572522   11.237927  True        ILMN_1662302
69  Homo sapiens interleukin 28B (interferon, lambda 3) (IL28B), mRNA.                                                                                                                                                                                                 6.514588   10.404415  True        ILMN_1768900
70  Homo sapiens interleukin 29 (interferon, lambda 1) (IL29), mRNA.                                                                                                                                                                                                   6.417963   11.916845  True        ILMN_1684570
71  Homo sapiens interleukin 29 (interferon, lambda 1) (IL29), mRNA.                                                                                                                                                                                                   6.417963   11.916845  True        ILMN_2149624
